1.02499e-12 	 -8.4906e-06 	 1818.77
2.00003e-12 	 5.4468e-06 	 348.701
3.0001e-12 	 -1.02528e-05 	 643.12
4.00013e-12 	 -3.3642e-06 	 -18.0979
5.0009e-12 	 2.8836e-06 	 2490.81
6.00014e-12 	 -3.204e-07 	 -260.261
7.00221e-12 	 -1.9224e-06 	 -842.126
8.00173e-12 	 3.204e-07 	 1424.9
9.04687e-12 	 -9.612e-07 	 -519.85
1.01114e-11 	 -6.408e-07 	 -1414.25
1.56507e-11 	 1.602e-07 	 91.8299
1.6009e-11 	 0 	 0
1.70277e-11 	 0 	 0
1.80487e-11 	 6.408e-07 	 3917.89
1.90476e-11 	 -3.204e-07 	 -2002.13
2.00066e-11 	 4.806e-07 	 3128.18
2.10349e-11 	 -3.204e-07 	 -1944.99
